id,created_at,original_text
ID000001,2020-08-20,91yearold exvice president moody awori lands inter county covid19 committee role
ID000002,2020-08-20,breaking department health reports 4339 people caught covid19 pushing national case count 17802
ID000003,2020-08-20,helps fan requested arrange bed positive father view tweet sidhart
ID000004,2020-08-20,lending club loan originations 90 hey bank
ID000005,2020-08-20,curious case united nations ngo appreciating kingdom mamata banerjee covid19 work lekhakanurag
ID000006,2020-08-20,jtbc drama private life starring snsds seohyun kyungpyo stopped filming covid19 concerns wi
ID000007,2020-08-20,tnm mpamba aware wake covid19 electronic payments proven effective stem spr
ID000008,2020-08-20,buy tram tickets advance download ticke
ID000009,2020-08-20,englands revamped contacttracing app enters public trials englands contacttracing app increasing peoples saf
ID000010,2020-08-20,day 3 1trump racist 2trump personally responsible 170000 american covid19 deaths 3trump executed geor
ID000011,2020-08-20,today launch womens aid annual impact report 2019 special covid19 report reports provide insight
ID000012,2020-08-20,contact tracing underway schools week reopening
ID000013,2020-08-20,kebbi csocbo risk communication community engagement covid19 primary health care argungu emirate social media
ID000014,2020-08-20,jtbc drama private lives starring seohyun kyung pyo halts filming staff reportedly filming sit
ID000015,2020-08-20,breaking 42 florida students tested positive covid19 florida located tallahassee flori
ID000016,2020-08-20,exceptional etonian english imperialism heart deadly covid19 crisis byline times
ID000017,2020-08-20,ph covid19 response 4
ID000018,2020-08-20,unlocked read scott morrisons team masterful spin marketing wont accept responsibility aged
ID000019,2020-08-20,silent spreaders covid19 kids healthy contagious sick adults study usa tod
ID000020,2020-08-20,umattok123 posted protestant churches siege covid19 storm south korea unique church cultur
ID000021,2020-08-20,ways people stories terms digital age
ID000022,2020-08-20,dont hope vaccine improve covid19 response
ID000023,2020-08-20,hope bmc follow covid19 protocols aamir khan returns india turkey mumbai police
ID000024,2020-08-20,realise india china covid19 deaths population 3 india 34
ID000025,2020-08-20,facebook child trafficking worldwide hate speech track amp trace funded friend
ID000026,2020-08-20,upcoming drama suspended filming staff location
ID000027,2020-08-20,covid 19 cases rising peak expected sept bihar floods 80 lakh ppl assam 56 lakhs
ID000028,2020-08-20,temperature mild evenings crisp enjoy glass red serving sizzling steak ev
ID000029,2020-08-20,1 clear longhaul joke article joke respiratory virus
ID000030,2020-08-20,tonyheller leader manchester city council warns governments measures imposed
ID000031,2020-08-20,covid19 pandemic exposed underbelly poverty closer realized shock
ID000032,2020-08-20,children carry covid19 systems thought study reveals
ID000033,2020-08-20,india reported 64531 cases covid 19 hours highest day spike phir
ID000034,2020-08-20,cricket south africa players tested positive covid19 teams culture camp
ID000035,2020-08-20,trended social media winner reached fans covid19
ID000036,2020-08-20,seva bharathi felicitated exemplary service covid19 lock madurai district collector
ID000037,2020-08-20,event professional feeling lost implement event read latest blog
ID000038,2020-08-20,tnm mpamba aware wake covid19 electronic payments proven effective stem
ID000039,2020-08-20,voted trump thought voted patriotic business man loved americans didnt realize voted fo
ID000040,2020-08-20,tough friends stuck months enjoy pos
ID000041,2020-08-20,market impact moves
ID000042,2020-08-20,redirecting sports investments open blood drive centers hosting livestreamed workouts cooking lesson
ID000043,2020-08-20,uk 9994 survived covid19 0005 died covid19 0001 died covid19 pandemic nowher
ID000044,2020-08-20,good numbers covid19 pandemic cases nigeria exceed 50000 50488 confirmed cases good
ID000045,2020-08-20,stopped filming test staff contact covid19 cases
ID000046,2020-08-20,waec 9 nigerian students 8 gombe 1 kwara tested positive covid19 continue writing
ID000047,2020-08-20,humble request explain adverce covid 19 drrpnishank bcoz drrpnishank doesnt
ID000048,2020-08-20,serological survey finds people antibodies specific covid showing infected point
ID000049,2020-08-20,trfstories opened applications stories bigger story covid19 youll win mentor
ID000050,2020-08-20,covid19 creating wave heart disease daily reminder death
ID000051,2020-08-20,real jiyong heavy smoker imagine lungs holes point getti
ID000052,2020-08-20,read report opinion damaging effects covid19 intercommunity connection friction
ID000053,2020-08-20,swedens chief epidemiologist anders tegnell dangerous face masks change game
ID000054,2020-08-20,dotr arthur tugade turns donation consisting ambulance local government muntinlup
ID000055,2020-08-20,space months dramatically shifted defining moment lives
ID000056,2020-08-20,breaking phe wont release data schools confirmed cases england share heck
ID000057,2020-08-20,ive idea skynews bbcbreakfast amp msm balance campaign national 2minut
ID000058,2020-08-20,early identification testing surveillance amp contact tracing focus timely
ID000059,2020-08-20,covid19 testing update details visit mohfwindia depthealthres
ID000060,2020-08-20,friend reached covid19 messed hustle sells makeup products figure
ID000061,2020-08-20,survey people valuing nature acces
ID000062,2020-08-20,video calls speak colleagues patients type
ID000063,2020-08-20,breaking usyd shortly statement denying heads school instructed cut fte staff levels
ID000064,2020-08-20,actor kim won hae tested positive covid19 contact actors seo sung jong amp heo don
ID000065,2020-08-20,antibodies covid19 infection 29 cent sampled people latest serosurvey delhi health minister sat
ID000066,2020-08-20,tvn drama start halts filming actress seo yi sook identified contact person heo dong won
ID000067,2020-08-20,jmpsimor evidence deadly stupidity waiting catastrophe happen people kick fuss
ID000068,2020-08-20,todays announcement local lockdown city aberdeen result increasing covid19 cases
ID000069,2020-08-20,covid19 testing test amp worse donald trump
ID000070,2020-08-20,175491 deaths covid19 spending time
ID000071,2020-08-20,positive covid19 confirmed cases jtbc building today knowing brothers filming hope eve
ID000072,2020-08-20,dr kk talwar advises visiting hospital earliest observing symptom dr talwar ur
ID000073,2020-08-20,qampa border control technology ease spread covid19 phocuswire
ID000074,2020-08-20,data reuse data increase effects lab activity exp
ID000075,2020-08-20,dont tomorrows episode learn build amazon kendra special guest
ID000076,2020-08-20,minister covid19 positive mahaan drrpnishank cond
ID000077,2020-08-20,governments national covid19 coordination commission nccc revealing serves australias corporate
ID000078,2020-08-20,breaking amit shah dies covid 19
ID000079,2020-08-20,tb replaced covid19
ID000080,2020-08-20,actors mentioned filming kbs dramas broadcast stations alert risi
ID000081,2020-08-20,zealand acted swiftly outbreak covid19 102 days virusfree uncle
ID000082,2020-08-20,private firm longterm associates michael gove dominic cummings handed
ID000083,2020-08-20,covid19 situation remains grim alarmingly increasing rate patients admist
ID000084,2020-08-20,wave idiots open borders coronavirus australia live news david littleproud sa
ID000085,2020-08-20,photodynamic therapy combat secondary infections covid19 patients photodynamicipa oncothai
ID000086,2020-08-20,face coverings reduce spread cover nose amp chin fit snugly
ID000087,2020-08-20,major problems students 1 covid19 control 2 online classes beneficial regular classe
ID000088,2020-08-20,batanes province remains free coronavirus disease covid19 photos captured opal bala res
ID000089,2020-08-20,californias covid19 prison crisis prison eclipsed 8000 total covid19 cases 1
ID000090,2020-08-20,cancelled broadcast august 25 rising cases covid19 seoul music progra
ID000091,2020-08-20,covid19 vaccinations start early 2021 german institute pfizerastrazenecacurevacrnamodernatx
ID000092,2020-08-20,sidharthshukla graciously responded fan called arrange bed positive fathe
ID000093,2020-08-20,gif reaction mrw reactions 2020 coronavirus 2019 trash covid19 corona virus disgusted garbage di
ID000094,2020-08-20,public health experts privately warned govt country return lockdown increase
ID000095,2020-08-20,oldham shouldnt lockdown cebmoxford
ID000096,2020-08-20,
ID000097,2020-08-20,kamala harris covid19 racist virus touches gotta honest equal opportunit
ID000098,2020-08-20,students covid19 summer resume studies vi form enj
ID000099,2020-08-20,report waste management pandemic response recovery considers approaches identifies
ID000100,2020-08-20,flash sales rep
ID000101,2020-08-20,care rages tonight amp tomorrow gif vi
ID000102,2020-08-20,dont threat ready 500 grantees studying viruses
ID000103,2020-08-20,covid19 sounds gulag number
ID000104,2020-08-20,effects uks covid sadly lot vulnerable people spring
ID000105,2020-08-20,teresa kok mohd khairuddin aman razali attended 12 public events returning turkey
ID000106,2020-08-20,read suffolk covid19 woods councillor matthew hicks suffolkcc suffolk county council leader
ID000107,2020-08-20,
ID000108,2020-08-20,irish company receives 45m european funding aid fight great feature article siriusxtltds
ID000109,2020-08-20,urging blood horseshoe crabs manu
ID000110,2020-08-20,presented wide array challenges includes reduced interaction btwn citizens duty bearers ths
ID000111,2020-08-20,immigration attorneys fight governments covid19 extension requests real reason
ID000112,2020-08-20,exceptional etonian english imperialism heart deadly covid19 crisis byline times
ID000113,2020-08-20,avoid unnecessary movement stay
ID000114,2020-08-20,covid19 awareness bro
ID000115,2020-08-20,
ID000116,2020-08-20,essential philadelphiabased terrill haigler spotlight sanitation workers critical role
ID000117,2020-08-20,upholds claim exist
ID000118,2020-08-20,whitburn lit beautifully morning
ID000119,2020-08-20,science finished communicated messages rendered incomprehensible technic
ID000120,2020-08-20,edryfaizal themamu limyiwei4my power people letak jawatan menteri langgar sop kuarantin covid19 sign
ID000121,2020-08-20,melbourne captured photo igajwilko
ID000122,2020-08-20,proper planning priority priority
ID000123,2020-08-20,covid19 dramatic consumers shop food increasing longer shelf life neil
ID000124,2020-08-20,blasio wifes 14 person 2 staff essential york recover covid19 billdeblasio yo
ID000125,2020-08-20,sudhirchaudhary china enemy humanity started spread covid19 china
ID000126,2020-08-20,iranian regimes parliamentary center released report economic consequences
ID000127,2020-08-20,children carry covid19 systems thought study
ID000128,2020-08-20,georgiadeptofed medically fragile ga music teacher told admin students sing classroom school doe
ID000129,2020-08-20,kevinatsave sets post covid19 debt relief leveraged social protection
ID000130,2020-08-20,selected articles halting descent tyranny defeating global elites covid19 coup
ID000131,2020-08-20,misleading health content racked estimated 38 billion views facebook year peaking covi
ID000132,2020-08-20,rajcmo ashokgehlot51 govinddotasra sachinpilot
ID000133,2020-08-20,today greater manchesters emergency covid19 committee leaders amp mayorofgm andyburnhamgm agreed correspond
ID000134,2020-08-20,nonsense lives life risks dangers people accustomed
ID000135,2020-08-20,breaking doh reports 4339 covid19 cases 88 deaths 727 recoveries brings totals 178022
ID000136,2020-08-20,started experiencing covid19 symptoms fever muscle aches lethargy tested virus
ID000137,2020-08-20,murrayhicksind4 damiandrummp tourism rescue wait
ID000138,2020-08-20,covid19 time digital church
ID000139,2020-08-20,anderson cooper attacking pillow creator mike lindell oleandrin alternative cure covid 19 cooper yo
ID000140,2020-08-20,urgently required positive plasma recovered covid 19 patient critical condition respond patient namemsridha
ID000141,2020-08-20,neoliberalism spreading coronavirus faster reckless teenager column
ID000142,2020-08-20,recommendations prepared ncoc guidelines provision covid19 vaccine
ID000143,2020-08-20,bigg boss 13 winner fans rescue father battles
ID000144,2020-08-20,
