id,created_at,original_text
ID000001,2020-06-01,covid19 pandemic delayed jabaris grassroots efforts opened pockets opportunit
ID000002,2020-06-01,remainer peer passed expose dominic cummings alleged covid19 breach
ID000003,2020-06-01,drshachikant hrdministry kvshq santoshkmall1 vimlesh71 release modification transfer list spouseph cases
ID000004,2020-06-01,update united continues lead global response covid19 united department
ID000005,2020-06-01,muster vigour equivalent political bountiful energy ba
ID000006,2020-06-01,la suspending covid19 testing blatant acts biological warfare people color ive
ID000007,2020-06-01,surveys conspiracy theories fascinating disturbing 29 uk adults withholding secret covid
ID000008,2020-06-01,sad news singer sonu nigam confirmed music composer wajid khan sajidwajid passed short whi
ID000009,2020-06-01,la suspended covid19 testing protests chicago schools stopped grab meals children
ID000010,2020-06-01,airlines hotels work hard business travelers wont impossible busi
ID000011,2020-06-01,rayhudson magistrial clear covid19man englandena
ID000012,2020-06-01,76 close breathe droplets including covid19 virus person
ID000013,2020-06-01,russians claim effective treatment coronavirus
ID000014,2020-06-01,press release samples tested 31 2020 confirm 40 covid19 cases 23 cases samples tested po
ID000015,2020-06-01,fully reopen note covid19 safety measures place branches
ID000016,2020-06-01,update russian health minister countrys infant mortality rate hits historic
ID000017,2020-06-01,covid19 136 infections 19 deaths
ID000018,2020-06-01,fly wall tonights amacdt college trainee chairs meeting hearing impact trainees
ID000019,2020-06-01,thugs rioting prisoners democrats released early covid19
ID000020,2020-06-01,dr fawzi amin head international federation red cross delegation red crescent societies
ID000021,2020-06-01,covid19 status update 400 pm 162020
ID000022,2020-06-01,urgency mass testing fight covid19
ID000023,2020-06-01,144700 confirmed cases african continent 61100 recoveries amp 4100 deaths
ID000024,2020-06-01,written year catastrophists
ID000025,2020-06-01,doctor public hospital kanpur india suggests muslims injected covid19 doam
ID000026,2020-06-01,countrys covid19 patients romanian couple finally clear disease 79 days
ID000027,2020-06-01,latest specificity statement update 21423 sequences 100 detection sarscov2
ID000028,2020-06-01,57th honor country owe profound debt gratitude
ID000029,2020-06-01,lessons learn today forgotten pandemic 1919 shape future
ID000030,2020-06-01,reduce chances infected spreading covid19
ID000031,2020-06-01,coronavirus covid19 213 countries territories 2 international conveyances
ID000032,2020-06-01,dear pakistanio ek chota sa reminder covid19 cases 70381 march 1938 april 14535 53908
ID000033,2020-06-01,
ID000034,2020-06-01,parents guardians send learners school children symptoms cov
ID000035,2020-06-01,nigeria center disease control announced record covid19 nigeria risen
ID000036,2020-06-01,peace justice ill fully understand pain trump thi
ID000037,2020-06-01,understand consequences energy join chief energy modeller
ID000038,2020-06-01,unemployment reason wake queue covid19 lockdown
ID000039,2020-06-01,western cape department education opening schools today mam angie sai
ID000040,2020-06-01,dp williamsruto journey 57 years generation grapple challenges governme
ID000041,2020-06-01,breakfast booze meal kits healthy eating postcovid19
ID000042,2020-06-01,fact instant curfews cancelling lyftuber police mobilization protests
ID000043,2020-06-01,covid19 passed 100000 deaths brutal killing george floyd people shot protests demanding ju
ID000044,2020-06-01,virtual event place june 1011 global institutions discuss
ID000045,2020-06-01,market weather week drama number death toll covid19 pa
ID000046,2020-06-01,community transmission coronavirus infection wellestablished large sections subpopulations
ID000047,2020-06-01,surprising hong kong govt covid19 cancel june 4th tiananmen square massacre memorial mov
ID000048,2020-06-01,morrisonsall engaging discussion luxury market branding consumer sentiment cov
ID000049,2020-06-01,cic juliussmalema highlights dangers alcohol fight covid19 pandemic
ID000050,2020-06-01,icoms latest survey collected global data relevant regard impact lockdowns museums
ID000051,2020-06-01,chardurand ektapaw helping colleges reflect approaches exams training including disadvant
ID000052,2020-06-01,presidential task force covid19 battle covid19 pandemic
ID000053,2020-06-01,focus shifts reopening economy navigate horizons
ID000054,2020-06-01,rioting weeks shitload sick democrats
ID000055,2020-06-01,hanbin donated 4000 masks elderlies messages stay strong korea hanbin praying
ID000056,2020-06-01,planning start pandemic influenza plans rapidly adapting
ID000057,2020-06-01,denouncing protests didnt denounce covid19 privileged ass white folk
ID000058,2020-06-01,manufacturing output slumps covid19 lockdown weighs
ID000059,2020-06-01,sources florida football voluntary workouts june 1
ID000060,2020-06-01,president framed war health calamity requiring scientific cons
ID000061,2020-06-01,doh report backlog data days lowers
ID000062,2020-06-01,kbangyeol entails mixed feelings koreas response covid19 amp satirical war
ID000063,2020-06-01,doh reports 552 covid19 cases 119 fresh 433 late 3 deaths 70 recoveries brings totals 186
ID000064,2020-06-01,cmoodisha humbly request govt leave migrants quarantine testing swab fo
ID000065,2020-06-01,federal govt hands covid19 battle
ID000066,2020-06-01,clarkemicah oddbod6 estimating forecasting covid19 attack rates mortality nonpharmaceut
ID000067,2020-06-01,powerful accounts doctors encountering supporting people dying covid19 clear legacy
ID000068,2020-06-01,news google expands tools businesses impacted techcrunch
ID000069,2020-06-01,difficulty acquiring life sustaining medicine
ID000070,2020-06-01,killer cop derek chauvin moved facility covid19 safety
ID000071,2020-06-01,blog experts assess effects amp responses covering 1 emmasamman 2 prim
ID000072,2020-06-01,items resource amp damianmaye weekend
ID000073,2020-06-01,yeah covid19 wont spread muslimish human bodies
ID000074,2020-06-01,talking yoga north covid19 medicinal current situati
ID000075,2020-06-01,icymi nigerias covid19 cases exceed 10000
ID000076,2020-06-01,protests george floyd titanic struck iceberg 911
ID000077,2020-06-01,indepth analysis covid19 impact global antiseize compounds market 2020 2030
ID000078,2020-06-01,covid19 brought sales brands return normality throw
ID000079,2020-06-01,45yearold covid19 shopian patient dies jampk death toll reaches 29
ID000080,2020-06-01,russia registered drug treat coronavirus highly effective version japane
