id,created_at,original_text,neg,neu,pos,compound
ID000001,2020-08-20,91yearold exvice president moody awori lands inter county covid19 committee role,0.2,0.8,0.0,-0.3612
ID000002,2020-08-20,breaking department health reports 4339 people caught covid19 pushing national case count 17802,0.0,1.0,0.0,0.0
ID000003,2020-08-20,helps fan requested arrange bed positive father view tweet sidhart,0.0,0.452,0.548,0.8176
ID000004,2020-08-20,lending club loan originations 90 hey bank,0.0,1.0,0.0,0.0
ID000005,2020-08-20,curious case united nations ngo appreciating kingdom mamata banerjee covid19 work lekhakanurag,0.0,0.529,0.471,0.7906
ID000006,2020-08-20,jtbc drama private life starring snsds seohyun kyungpyo stopped filming covid19 concerns wi,0.137,0.863,0.0,-0.2263
ID000007,2020-08-20,tnm mpamba aware wake covid19 electronic payments proven effective stem spr,0.0,0.763,0.237,0.4767
ID000008,2020-08-20,buy tram tickets advance download ticke,0.0,1.0,0.0,0.0
ID000009,2020-08-20,englands revamped contacttracing app enters public trials englands contacttracing app increasing peoples saf,0.0,1.0,0.0,0.0
ID000010,2020-08-20,day 3 1trump racist 2trump personally responsible 170000 american covid19 deaths 3trump executed geor,0.231,0.636,0.133,-0.4019
ID000011,2020-08-20,today launch womens aid annual impact report 2019 special covid19 report reports provide insight,0.0,0.828,0.172,0.4019
ID000012,2020-08-20,contact tracing underway schools week reopening,0.0,1.0,0.0,0.0
ID000013,2020-08-20,kebbi csocbo risk communication community engagement covid19 primary health care argungu emirate social media,0.109,0.57,0.321,0.6249
ID000014,2020-08-20,jtbc drama private lives starring seohyun kyung pyo halts filming staff reportedly filming sit,0.0,1.0,0.0,0.0
ID000015,2020-08-20,breaking 42 florida students tested positive covid19 florida located tallahassee flori,0.0,0.735,0.265,0.5574
ID000016,2020-08-20,exceptional etonian english imperialism heart deadly covid19 crisis byline times,0.313,0.687,0.0,-0.6249
ID000017,2020-08-20,ph covid19 response 4,0.0,1.0,0.0,0.0
ID000018,2020-08-20,unlocked read scott morrisons team masterful spin marketing wont accept responsibility aged,0.166,0.834,0.0,-0.2924
ID000019,2020-08-20,silent spreaders covid19 kids healthy contagious sick adults study usa tod,0.348,0.488,0.165,-0.4588
ID000020,2020-08-20,umattok123 posted protestant churches siege covid19 storm south korea unique church cultur,0.0,1.0,0.0,0.0
ID000021,2020-08-20,ways people stories terms digital age,0.0,1.0,0.0,0.0
ID000022,2020-08-20,dont hope vaccine improve covid19 response,0.546,0.454,0.0,-0.5875
ID000023,2020-08-20,hope bmc follow covid19 protocols aamir khan returns india turkey mumbai police,0.0,0.791,0.209,0.4404
ID000024,2020-08-20,realise india china covid19 deaths population 3 india 34,0.0,1.0,0.0,0.0
ID000025,2020-08-20,facebook child trafficking worldwide hate speech track amp trace funded friend,0.233,0.566,0.201,-0.128
ID000026,2020-08-20,upcoming drama suspended filming staff location,0.383,0.617,0.0,-0.4767
ID000027,2020-08-20,covid 19 cases rising peak expected sept bihar floods 80 lakh ppl assam 56 lakhs,0.0,1.0,0.0,0.0
