id,created_at,original_text
ID000001,2020-04-19,priyankachopra calling leaders protect refugees providing quality health care
ID000002,2020-04-19,ogun support cbnnirsal targeted credit facility tcf
ID000003,2020-04-19,5 police officials based namahadi police station busy drinking liquor tavern duty
ID000004,2020-04-19,oyo discharges patients
ID000005,2020-04-19,condolences family survive
ID000006,2020-04-19,received text 19 year son working patients equate quarantine
ID000007,2020-04-19,taiwans vicepresident chen chienjen countrys fight
ID000008,2020-04-19,breaking york woman symptoms died week prescribed drug cocktail
ID000009,2020-04-19,horrible tragedy nova scotia today families closure pandemic funer
ID000010,2020-04-19,tahirsyeedk sagarikaghose cured sooner laterbut cure ghose virus
ID000011,2020-04-19,january 22nd totally control person coming china control
ID000012,2020-04-19,doctor friend delivering babies crisis told interesting data 2 large nyc area hospitals
ID000013,2020-04-19,attack body devastating consequences ferocity breathtaking humbli
ID000014,2020-04-19,prevention key simple steps today protect
ID000015,2020-04-19,breaking jigawa records case sahara reporters
ID000016,2020-04-19,wallace pelosi downplaying president underplayed threat early days speaker pel
ID000017,2020-04-19,12 condemns unrelenting vicious campaign maligning muslims spread
ID000018,2020-04-19,3000 british people killed dday circa 10 times number dead uk ne
ID000019,2020-04-19,ronnieclarke69 skysportsnews tails legs opened stadium 19 tes
ID000020,2020-04-19,treatmentnot mortality ratewas track destroying medical flu season 10
ID000021,2020-04-19,officers speak motivations point havent links
ID000022,2020-04-19,mila launching quarantine wine 100 profits relief efforts
ID000023,2020-04-19,alberta doctors slam province shoddy masks
ID000024,2020-04-19,jettaboldt skynews smoking approx 1 people
ID000025,2020-04-19,touching funke akindele releases statement maintaining social distancing fight aga
ID000026,2020-04-19,economically scientifically technologically advanced country planet ranked 38th tests person
ID000027,2020-04-19,straight conspires china mislead trump threatens defund providing
ID000028,2020-04-19,hoax set nwo asleep sheep follow media tel
ID000029,2020-04-19,drbiden keeping loved 40000 people weve lost praye
ID000030,2020-04-19,40000 people died coronavirus database johns
ID000031,2020-04-19,realdonaldtrump believes enemy coronavirus speakerpelosi believes enemy pres trump order
ID000032,2020-04-19,messaging matters usfda evidence food packaging transmission cov
ID000033,2020-04-19,feel trump luring democrats minefield time keeping guys fauci ju
ID000034,2020-04-19,thepubliususa 19 catch
ID000035,2020-04-19,sizwelo check banned video
ID000036,2020-04-19,5 human rights emergency country leader international institution speak
ID000037,2020-04-19,heartwarming woman evacuated helicopter spins honor healthcare workers globe battling cov
ID000038,2020-04-19,people contextualize large nominal number deaths size relative
ID000039,2020-04-19,case minnesota 38yearold ironman athlete died relies oxygen fiv
ID000040,2020-04-19,davidcorndc contractor warnings traveled family fla daughters cheer compet
ID000041,2020-04-19,sadly deaths latest
ID000042,2020-04-19,death toll approaches 40000 david cross 7 news correspondent kadakpaul york update
ID000043,2020-04-19,volunteers derasachasauda working 247 sharing tips stay healthy wid inspir
ID000044,2020-04-19,pandemic medias cancer trump supporters protesting stayathome orders meanwh
ID000045,2020-04-19,scots terrified homes numerous elderly dying hospitalcare homesalone thousands pax
ID000046,2020-04-19,preprint intersecting risk factors poverty age comorbidities raceethnicity health insurance place
ID000047,2020-04-19,bet wont single arrestthousands israelis brave heath risks protest
ID000048,2020-04-19,note appreciation effectiveness incountry efforts mobilized nations collect
ID000049,2020-04-19,fragoua burak111 unfetteredmind1 reuters turkish medical association turkish regime hides real
ID000050,2020-04-19,h3h3productions girlfriend hand forced job care
ID000051,2020-04-19,georgetown amp harvard ill assume deliberately misleading people numbers
ID000052,2020-04-19,urgent spiritual approach prophet ekong ituen tells fg
ID000053,2020-04-19,leaders slow spread elected officials
ID000054,2020-04-19,government tells dangerous golf fish motor boat governor
ID000055,2020-04-19,harvard 9 aid small businesses 50k ridiculous
ID000056,2020-04-19,management country specific solution fits countries countries pr
ID000057,2020-04-19,democracy accountability wait glad conservative team wavered fighting
ID000058,2020-04-19,robert niro leodicaprio offering fans role film donate initiative suppo
ID000059,2020-04-19,great sadness member nursing family michael allieu sadly died
ID000060,2020-04-19,democrats tested carry papers public voter racist
ID000061,2020-04-19,pm narendramodi jis ensure adequate supply perishables lockdown railways trans
ID000062,2020-04-19,left proven sensanders claims rightbecause gov
ID000063,2020-04-19,people lose jobs reduced income children eligible medicaid parents expansion st
ID000064,2020-04-19,absolutely disgusting accidentally killed today oregon psas shame people staying ami
ID000065,2020-04-19,phase 123 absurd shelter place slows infections prevent
ID000066,2020-04-19,share message protect friends workmates morrison government changed laws big business cut pay
ID000067,2020-04-19,person survived corona virus fully recovered amp donate save uncles life
ID000068,2020-04-19,busy protocols working ispirit govt complement teams moving
ID000069,2020-04-19,sense week transition freaking numbers
ID000070,2020-04-19,edo impose curfew
ID000071,2020-04-19,gpnewport number vehicles parked lighthouse retirement park members public spoken reg
ID000072,2020-04-19,white supremacist planned bomb missouri hospital treating patients fbi man died shootout
ID000073,2020-04-19,president ghana lifted threeweek lockdown 1024 cases good
ID000074,2020-04-19,34 federal funding law enforcement montana bolster response
ID000075,2020-04-19,coronavirus live maharashtras biggest jump takes india cases 17000
ID000076,2020-04-19,confusion seizure strokes affect brain fever cough amp shortness breath
ID000077,2020-04-19,gtconway3d sacrificed lives everyday dont
ID000078,2020-04-19,princesseffel ajthompson13 nl 3 10000 blood donors tested ve shd pop representative sample abo
ID000079,2020-04-19,people allowed medical contract period
ID000080,2020-04-19,shock read trump panic mode brace rough mo
ID000081,2020-04-19,coronavirus crisis india advance hindu settler colonial enterprise kashmir rea
ID000082,2020-04-19,told parents sobolo cure
ID000083,2020-04-19,remember gop held 33 hearings 10 investigations american deaths benghazi
ID000084,2020-04-19,chris cuomo thinks germs dont matter
ID000085,2020-04-19,55 positive news stories missed elleuk amp author livblair
ID000086,2020-04-19,
ID000087,2020-04-19,great sadness nursing family ruben muoz jr sadly died
ID000088,2020-04-19,morethanmysle waiting headlines protesters shook hands alex jones dead
ID000089,2020-04-19,oyo task force update april 19 2020 confirmed patients discharged today receiv
ID000090,2020-04-19,71 cases confirmed 24 hours
ID000091,2020-04-19,australia demands international investigation origin spread coronavirus adding growing pressure china ove
ID000092,2020-04-19,great sadness hospital transport driver abdul gellaledin sadly died
ID000093,2020-04-19,
ID000094,2020-04-19,map ceasefires breaking pandemic sgs global
ID000095,2020-04-19,stephen moore thinking gun toting protesters rosa parks rosa parks broug
ID000096,2020-04-19,coronavirus death toll tops 41000 bbc news
ID000097,2020-04-19,goosebumps shawnmendes camilacabello support global health
ID000098,2020-04-19,presssec realdonaldtrump tests proportion population selected country rankings 1 iceland 12
ID000099,2020-04-19,imagine waiting issues 19 president start discussing knocked goat
ID000100,2020-04-19,video tribute honors oklahoma bombing victims pandemic
ID000101,2020-04-19,uk pm boris johnson skipped meetings calls protective gears report
ID000102,2020-04-19,prospects producing vaccine good professor sarah gilbert vaccinologist oxford univers
ID000103,2020-04-19,fauci game realdonaldtrump donaldjtrumpjr vashiva barneslaw savsays samtripoli eddiebravo banneddotv
ID000104,2020-04-19,bonzodog747 nygovcuomo quick cuomo lawn hamptons yeh real sick mask
ID000105,2020-04-19,great sadness auxiliary nurse margaret tapley sadly died 8
ID000106,2020-04-19,accidentally killed today oregon psas shame people staying outbreak vi
ID000107,2020-04-19,scientists raise concerns quality uk tests
ID000108,2020-04-19,robin grubbsthe federal prisons staff member diewas army veteran diehard atlanta falcons fa
ID000109,2020-04-19,notice lapse appropriations sba unable accept applications time economic injury disaster loan
ID000110,2020-04-19,box filled ventec criticalcare ventilators capable helping ill signed employ
ID000111,2020-04-19,ladygaga reminds smile compassionate difficult times watch incredible
ID000112,2020-04-19,13 ways optimize health fight
ID000113,2020-04-19,leovaradkar roisinshortall simonharristd simoncoveney seankellymep billykellehereu michealmartintd paschald
ID000114,2020-04-19,sick time difference recover severe cases str
ID000115,2020-04-19,day death toll pass 40000 president united busy promoting
ID000116,2020-04-19,40 scheduled hold primary local elections november election
ID000117,2020-04-19,selling xl 5xl rubensesque tshirts
ID000118,2020-04-19,1279 relief power impact ladygaga hel
ID000119,2020-04-19,sector including local farming industry offset losses farmers
ID000120,2020-04-19,omaigala1 dont nigerians miopic tend visit issues political
ID000121,2020-04-19,needed rich americans activate pandemic escape plans
ID000122,2020-04-19,1 case confirmed 1114 truck drivers today case 27 yr kenyan truck driver arrived ma
ID000123,2020-04-19,fox news snicker personalities diamond silk reject vaccine funded gates fair eno
ID000124,2020-04-19,
ID000125,2020-04-19,ijeosamor good eveningthe heavy issue expected
ID000126,2020-04-19,
ID000127,2020-04-19,lockdown lifted whiles 1000 positive 19 cases dont feel feel premature
ID000128,2020-04-19,president peddling untested drugs treatment hydroxychloroquine survive
ID000129,2020-04-19,kchristidis terribly long wait imagine heavily impacted
ID000130,2020-04-19,brunswicks judy persichilli leads battle
ID000131,2020-04-19,justice department seeks illegal online sale industrial bleach marketed miracle treatment ge
ID000132,2020-04-19,antivaxxers media stories debunk falsities agenda
ID000133,2020-04-19,truth americas response latest oped published washington times
ID000134,2020-04-19,tomorrow brings day forget governments abject failure early grip coronavirus 56
ID000135,2020-04-19,
ID000136,2020-04-19,follow science chris deerin yellow brick road mismanagement 19 lack accoun
ID000137,2020-04-19,humongous stories weekend boris johnson speech promoting profiteering boris johnson
ID000138,2020-04-19,people die coronavirus africa spread contained report warns officials
ID000139,2020-04-19,family member lead tech testing hospital san diego performed thousands
ID000140,2020-04-19,alert class 2020 student athletes ncaa waiving satact scores class 2020
ID000141,2020-04-19,nhannahjones striking protests emerged time clear
ID000142,2020-04-19,strong female governor takes stand gov kristi noem vows south dakota open public enemy 1
ID000143,2020-04-19,pandemics demand democratic publicity social media spectacles article thewirein chronicle quoti
ID000144,2020-04-19,guardian president trumps fault failing protect endangered species china
ID000145,2020-04-19,tested test negative started
ID000146,2020-04-19,absolutely nerves undermining boris gvt trust boris johnson
ID000147,2020-04-19,2013 dr fauci praised hcq promising mers virus trump
ID000148,2020-04-19,bernards twp basking ridge man charged violating emergency orders pande
ID000149,2020-04-19,dnpthree ill 5000 total 50 people 100 retweet 5 hours
ID000150,2020-04-19,epidemiologists britta nicholas jewell suggests 90 percent deaths united st
ID000151,2020-04-19,suggests people black asian minority ethnic backgrounds greater risk beco
ID000152,2020-04-19,1969 year released stands halfway 191819 fl
ID000153,2020-04-19,hold leaders accountable keeping berniesanders aoc rokhanna rashidatlaib ilhanmn
ID000154,2020-04-19,princess sofia sweden medical assistant fight vogue
ID000155,2020-04-19,guess trump chose committee reviving restaurants mother jones
ID000156,2020-04-19,teamgivingcom teampulte laid parents job hard
ID000157,2020-04-19,ekiti extend lockdown fayemi
ID000158,2020-04-19,recovered patient donates
ID000159,2020-04-19,increasing number south koreas recovered patients 163 2 countrys total isol
ID000160,2020-04-19,speakerpelosi thebeatwithari dereliction speaker lies job biach 4 tests increased tes
ID000161,2020-04-19,outbreak nigeria governments opened isolation centres care coronavi
ID000162,2020-04-19,pqzi gzvv rmuc ljbr oxpu bgfv jfry xcpk roct dsjx lkon cdtv prior jorge babu manu foraprior david
ID000163,2020-04-19,pick festival attend choose edc
ID000164,2020-04-19,flashback chief scientist lied public safety vaccines admitting closed doors
ID000165,2020-04-19,fun math killed 0000069 americans york city killed 0000039
ID000166,2020-04-19,tinakalinen skyecity hardeep216 karltrotsky chelleryn99 tisy47 soopagaz dsue1441re dylanstrain awakenunite
ID000167,2020-04-19,ladygaga celinedion andreabocelli langlang johnlegends incredible final performanc
ID000168,2020-04-19,realdonaldtrump question sets shelter place testing standard
ID000169,2020-04-19,york testing thousands residents week antibodies gov andrew cuomo
ID000170,2020-04-19,book arrived planet earth days bit bumpy ride
ID000171,2020-04-19,
ID000172,2020-04-19,trumpsugar calijeff1 persevereever notthehun1 digivorr adamwinge tomag49 dancesfacts rightinca
ID000173,2020-04-19,sycophant senator touts nonexistent psychic powers republican claims trump foreshadowed coronavirus
ID000174,2020-04-19,sweden germany switzerland thinking axis rationality
ID000175,2020-04-19,pastor died weeks advising congregants ignore social distancing measures attend church
ID000176,2020-04-19,brooklyn hospital centers chief operating officer describes extraordinary measures handle number
ID000177,2020-04-19,shocking news loving fans 40000 americans died doubt 20000
ID000178,2020-04-19,reminder swedish government didnt shut economy allowed greater personal freedom responsibi
ID000179,2020-04-19,husband told watching federal government deal watching ministry magic deal
ID000180,2020-04-19,answers questions pandemic young women bio ywib online developed video modules
ID000181,2020-04-19,laceshantelley gt1 people died car accidents today 19
