id,created_at,original_text,neg,neu,pos,compound,neg,neu,pos,compound
ID000001,2020-04-19,priyankachopra calling leaders protect refugees providing quality health care,0.0,0.547,0.453,0.7003,0.0,0.547,0.453,0.7003
ID000002,2020-04-19,ogun support cbnnirsal targeted credit facility tcf,0.0,0.485,0.515,0.6486,0.0,0.485,0.515,0.6486
ID000003,2020-04-19,5 police officials based namahadi police station busy drinking liquor tavern duty,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000004,2020-04-19,oyo discharges patients,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000005,2020-04-19,condolences family survive,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000006,2020-04-19,received text 19 year son working patients equate quarantine,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000007,2020-04-19,taiwans vicepresident chen chienjen countrys fight,0.342,0.658,0.0,-0.3818,0.342,0.658,0.0,-0.3818
ID000008,2020-04-19,breaking york woman symptoms died week prescribed drug cocktail,0.31,0.69,0.0,-0.5574,0.31,0.69,0.0,-0.5574
ID000009,2020-04-19,horrible tragedy nova scotia today families closure pandemic funer,0.53,0.47,0.0,-0.836,0.53,0.47,0.0,-0.836
ID000010,2020-04-19,tahirsyeedk sagarikaghose cured sooner laterbut cure ghose virus,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000011,2020-04-19,january 22nd totally control person coming china control,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000012,2020-04-19,doctor friend delivering babies crisis told interesting data 2 large nyc area hospitals,0.216,0.474,0.311,0.2023,0.216,0.474,0.311,0.2023
ID000013,2020-04-19,attack body devastating consequences ferocity breathtaking humbli,0.603,0.199,0.199,-0.7269,0.603,0.199,0.199,-0.7269
ID000014,2020-04-19,prevention key simple steps today protect,0.0,0.658,0.342,0.3818,0.0,0.658,0.342,0.3818
ID000015,2020-04-19,breaking jigawa records case sahara reporters,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000016,2020-04-19,wallace pelosi downplaying president underplayed threat early days speaker pel,0.274,0.726,0.0,-0.5267,0.274,0.726,0.0,-0.5267
ID000017,2020-04-19,12 condemns unrelenting vicious campaign maligning muslims spread,0.492,0.508,0.0,-0.7003,0.492,0.508,0.0,-0.7003
ID000018,2020-04-19,3000 british people killed dday circa 10 times number dead uk ne,0.461,0.471,0.068,-0.8591,0.461,0.471,0.068,-0.8591
ID000019,2020-04-19,ronnieclarke69 skysportsnews tails legs opened stadium 19 tes,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000020,2020-04-19,treatmentnot mortality ratewas track destroying medical flu season 10,0.47,0.53,0.0,-0.7351,0.47,0.53,0.0,-0.7351
ID000021,2020-04-19,officers speak motivations point havent links,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000022,2020-04-19,mila launching quarantine wine 100 profits relief efforts,0.0,0.5,0.5,0.7184,0.0,0.5,0.5,0.7184
ID000023,2020-04-19,alberta doctors slam province shoddy masks,0.342,0.658,0.0,-0.3818,0.342,0.658,0.0,-0.3818
ID000024,2020-04-19,jettaboldt skynews smoking approx 1 people,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000025,2020-04-19,touching funke akindele releases statement maintaining social distancing fight aga,0.224,0.776,0.0,-0.3818,0.224,0.776,0.0,-0.3818
ID000026,2020-04-19,economically scientifically technologically advanced country planet ranked 38th tests person,0.0,0.818,0.182,0.25,0.0,0.818,0.182,0.25
ID000027,2020-04-19,straight conspires china mislead trump threatens defund providing,0.248,0.571,0.181,-0.1779,0.248,0.571,0.181,-0.1779
ID000028,2020-04-19,hoax set nwo asleep sheep follow media tel,0.231,0.769,0.0,-0.2732,0.231,0.769,0.0,-0.2732
ID000029,2020-04-19,drbiden keeping loved 40000 people weve lost praye,0.189,0.492,0.32,0.3818,0.189,0.492,0.32,0.3818
ID000030,2020-04-19,40000 people died coronavirus database johns,0.419,0.581,0.0,-0.5574,0.419,0.581,0.0,-0.5574
ID000031,2020-04-19,realdonaldtrump believes enemy coronavirus speakerpelosi believes enemy pres trump order,0.467,0.533,0.0,-0.7906,0.467,0.533,0.0,-0.7906
ID000032,2020-04-19,messaging matters usfda evidence food packaging transmission cov,0.0,0.864,0.136,0.0258,0.0,0.864,0.136,0.0258
ID000033,2020-04-19,feel trump luring democrats minefield time keeping guys fauci ju,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000034,2020-04-19,thepubliususa 19 catch,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000035,2020-04-19,sizwelo check banned video,0.5,0.5,0.0,-0.4588,0.5,0.5,0.0,-0.4588
ID000036,2020-04-19,5 human rights emergency country leader international institution speak,0.271,0.729,0.0,-0.3818,0.271,0.729,0.0,-0.3818
ID000037,2020-04-19,heartwarming woman evacuated helicopter spins honor healthcare workers globe battling cov,0.128,0.488,0.384,0.6369,0.128,0.488,0.384,0.6369
ID000038,2020-04-19,people contextualize large nominal number deaths size relative,0.0,0.843,0.157,0.0772,0.0,0.843,0.157,0.0772
ID000039,2020-04-19,case minnesota 38yearold ironman athlete died relies oxygen fiv,0.31,0.69,0.0,-0.5574,0.31,0.69,0.0,-0.5574
ID000040,2020-04-19,davidcorndc contractor warnings traveled family fla daughters cheer compet,0.176,0.56,0.264,0.2732,0.176,0.56,0.264,0.2732
ID000041,2020-04-19,sadly deaths latest,0.583,0.417,0.0,-0.4215,0.583,0.417,0.0,-0.4215
ID000042,2020-04-19,death toll approaches 40000 david cross 7 news correspondent kadakpaul york update,0.281,0.719,0.0,-0.5994,0.281,0.719,0.0,-0.5994
ID000043,2020-04-19,volunteers derasachasauda working 247 sharing tips stay healthy wid inspir,0.0,0.593,0.407,0.6705,0.0,0.593,0.407,0.6705
ID000044,2020-04-19,pandemic medias cancer trump supporters protesting stayathome orders meanwh,0.447,0.373,0.18,-0.6486,0.447,0.373,0.18,-0.6486
ID000045,2020-04-19,scots terrified homes numerous elderly dying hospitalcare homesalone thousands pax,0.308,0.692,0.0,-0.6124,0.308,0.692,0.0,-0.6124
ID000046,2020-04-19,preprint intersecting risk factors poverty age comorbidities raceethnicity health insurance place,0.375,0.625,0.0,-0.6597,0.375,0.625,0.0,-0.6597
ID000047,2020-04-19,bet wont single arrestthousands israelis brave heath risks protest,0.304,0.444,0.252,0.0772,0.304,0.444,0.252,0.0772
ID000048,2020-04-19,note appreciation effectiveness incountry efforts mobilized nations collect,0.0,0.68,0.32,0.5106,0.0,0.68,0.32,0.5106
ID000049,2020-04-19,fragoua burak111 unfetteredmind1 reuters turkish medical association turkish regime hides real,0.145,0.855,0.0,-0.1779,0.145,0.855,0.0,-0.1779
ID000050,2020-04-19,h3h3productions girlfriend hand forced job care,0.242,0.242,0.516,0.5267,0.242,0.242,0.516,0.5267
ID000051,2020-04-19,georgetown amp harvard ill assume deliberately misleading people numbers,0.44,0.56,0.0,-0.6705,0.44,0.56,0.0,-0.6705
ID000052,2020-04-19,urgent spiritual approach prophet ekong ituen tells fg,0.0,0.795,0.205,0.2023,0.0,0.795,0.205,0.2023
ID000053,2020-04-19,leaders slow spread elected officials,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000054,2020-04-19,government tells dangerous golf fish motor boat governor,0.307,0.693,0.0,-0.4767,0.307,0.693,0.0,-0.4767
ID000055,2020-04-19,harvard 9 aid small businesses 50k ridiculous,0.333,0.667,0.0,-0.3612,0.333,0.667,0.0,-0.3612
ID000056,2020-04-19,management country specific solution fits countries countries pr,0.0,0.753,0.247,0.3182,0.0,0.753,0.247,0.3182
ID000057,2020-04-19,democracy accountability wait glad conservative team wavered fighting,0.217,0.522,0.261,0.128,0.217,0.522,0.261,0.128
ID000058,2020-04-19,robert niro leodicaprio offering fans role film donate initiative suppo,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000059,2020-04-19,great sadness member nursing family michael allieu sadly died,0.505,0.272,0.223,-0.6369,0.505,0.272,0.223,-0.6369
ID000060,2020-04-19,democrats tested carry papers public voter racist,0.4,0.6,0.0,-0.6124,0.4,0.6,0.0,-0.6124
ID000061,2020-04-19,pm narendramodi jis ensure adequate supply perishables lockdown railways trans,0.0,0.64,0.36,0.5423,0.0,0.64,0.36,0.5423
ID000062,2020-04-19,left proven sensanders claims rightbecause gov,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000063,2020-04-19,people lose jobs reduced income children eligible medicaid parents expansion st,0.213,0.787,0.0,-0.4019,0.213,0.787,0.0,-0.4019
ID000064,2020-04-19,absolutely disgusting accidentally killed today oregon psas shame people staying ami,0.67,0.33,0.0,-0.9353,0.67,0.33,0.0,-0.9353
ID000065,2020-04-19,phase 123 absurd shelter place slows infections prevent,0.0,0.864,0.136,0.0258,0.0,0.864,0.136,0.0258
ID000066,2020-04-19,share message protect friends workmates morrison government changed laws big business cut pay,0.18,0.412,0.407,0.6597,0.18,0.412,0.407,0.6597
ID000067,2020-04-19,person survived corona virus fully recovered amp donate save uncles life,0.0,0.581,0.419,0.7579,0.0,0.581,0.419,0.7579
ID000068,2020-04-19,busy protocols working ispirit govt complement teams moving,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000069,2020-04-19,sense week transition freaking numbers,0.412,0.588,0.0,-0.4215,0.412,0.588,0.0,-0.4215
ID000070,2020-04-19,edo impose curfew,0.524,0.476,0.0,-0.296,0.524,0.476,0.0,-0.296
ID000071,2020-04-19,gpnewport number vehicles parked lighthouse retirement park members public spoken reg,0.0,0.885,0.115,0.0772,0.0,0.885,0.115,0.0772
ID000072,2020-04-19,white supremacist planned bomb missouri hospital treating patients fbi man died shootout,0.393,0.52,0.087,-0.743,0.393,0.52,0.087,-0.743
ID000073,2020-04-19,president ghana lifted threeweek lockdown 1024 cases good,0.0,0.707,0.293,0.4404,0.0,0.707,0.293,0.4404
ID000074,2020-04-19,34 federal funding law enforcement montana bolster response,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000075,2020-04-19,coronavirus live maharashtras biggest jump takes india cases 17000,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000076,2020-04-19,confusion seizure strokes affect brain fever cough amp shortness breath,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296
ID000077,2020-04-19,gtconway3d sacrificed lives everyday dont,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000078,2020-04-19,princesseffel ajthompson13 nl 3 10000 blood donors tested ve shd pop representative sample abo,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000079,2020-04-19,people allowed medical contract period,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000080,2020-04-19,shock read trump panic mode brace rough mo,0.496,0.504,0.0,-0.7096,0.496,0.504,0.0,-0.7096
ID000081,2020-04-19,coronavirus crisis india advance hindu settler colonial enterprise kashmir rea,0.313,0.687,0.0,-0.6249,0.313,0.687,0.0,-0.6249
ID000082,2020-04-19,told parents sobolo cure,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000083,2020-04-19,remember gop held 33 hearings 10 investigations american deaths benghazi,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000084,2020-04-19,chris cuomo thinks germs dont matter,0.177,0.823,0.0,-0.0191,0.177,0.823,0.0,-0.0191
ID000085,2020-04-19,55 positive news stories missed elleuk amp author livblair,0.172,0.547,0.281,0.34,0.172,0.547,0.281,0.34
ID000086,2020-04-19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID000087,2020-04-19,great sadness nursing family ruben muoz jr sadly died,0.505,0.272,0.223,-0.6369,0.505,0.272,0.223,-0.6369
ID000088,2020-04-19,morethanmysle waiting headlines protesters shook hands alex jones dead,0.559,0.441,0.0,-0.765,0.559,0.441,0.0,-0.765
ID000089,2020-04-19,oyo task force update april 19 2020 confirmed patients discharged today receiv,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000090,2020-04-19,71 cases confirmed 24 hours,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000091,2020-04-19,australia demands international investigation origin spread coronavirus adding growing pressure china ove,0.158,0.719,0.122,-0.128,0.158,0.719,0.122,-0.128
ID000092,2020-04-19,great sadness hospital transport driver abdul gellaledin sadly died,0.505,0.272,0.223,-0.6369,0.505,0.272,0.223,-0.6369
ID000093,2020-04-19,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID000094,2020-04-19,map ceasefires breaking pandemic sgs global,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000095,2020-04-19,stephen moore thinking gun toting protesters rosa parks rosa parks broug,0.323,0.677,0.0,-0.5106,0.323,0.677,0.0,-0.5106
ID000096,2020-04-19,coronavirus death toll tops 41000 bbc news,0.32,0.41,0.27,-0.1531,0.32,0.41,0.27,-0.1531
ID000097,2020-04-19,goosebumps shawnmendes camilacabello support global health,0.0,0.649,0.351,0.4019,0.0,0.649,0.351,0.4019
ID000098,2020-04-19,presssec realdonaldtrump tests proportion population selected country rankings 1 iceland 12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000099,2020-04-19,imagine waiting issues 19 president start discussing knocked goat,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000100,2020-04-19,video tribute honors oklahoma bombing victims pandemic,0.217,0.472,0.311,0.25,0.217,0.472,0.311,0.25
ID000101,2020-04-19,uk pm boris johnson skipped meetings calls protective gears report,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000102,2020-04-19,prospects producing vaccine good professor sarah gilbert vaccinologist oxford univers,0.0,0.611,0.389,0.6249,0.0,0.611,0.389,0.6249
ID000103,2020-04-19,fauci game realdonaldtrump donaldjtrumpjr vashiva barneslaw savsays samtripoli eddiebravo banneddotv,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000104,2020-04-19,bonzodog747 nygovcuomo quick cuomo lawn hamptons yeh real sick mask,0.268,0.732,0.0,-0.5106,0.268,0.732,0.0,-0.5106
ID000105,2020-04-19,great sadness auxiliary nurse margaret tapley sadly died 8,0.534,0.23,0.236,-0.6369,0.534,0.23,0.236,-0.6369
ID000106,2020-04-19,accidentally killed today oregon psas shame people staying outbreak vi,0.588,0.412,0.0,-0.875,0.588,0.412,0.0,-0.875
ID000107,2020-04-19,scientists raise concerns quality uk tests,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000108,2020-04-19,robin grubbsthe federal prisons staff member diewas army veteran diehard atlanta falcons fa,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000109,2020-04-19,notice lapse appropriations sba unable accept applications time economic injury disaster loan,0.373,0.486,0.141,-0.6486,0.373,0.486,0.141,-0.6486
ID000110,2020-04-19,box filled ventec criticalcare ventilators capable helping ill signed employ,0.192,0.479,0.329,0.25,0.192,0.479,0.329,0.25
