id,created_at,original_text,neg,neu,pos,compound,neg.1,neu.1,pos.1,compound.1,neg.2,neu.2,pos.2,compound.2,neg,neu,pos,compound
ID000001,2020-06-01,pandemic delayed jabaris grassroots efforts opened pockets opportunit,0.213,0.787,0.0,-0.2263,0.213,0.787,0.0,-0.2263,0.213,0.787,0.0,-0.2263,0.213,0.787,0.0,-0.2263
ID000002,2020-06-01,remainer peer passed expose dominic cummings alleged breach,0.186,0.814,0.0,-0.1531,0.186,0.814,0.0,-0.1531,0.186,0.814,0.0,-0.1531,0.186,0.814,0.0,-0.1531
ID000003,2020-06-01,drshachikant hrdministry kvshq santoshkmall1 vimlesh71 release modification transfer list spouseph cases,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000004,2020-06-01,update united continues lead global response united department,0.0,0.517,0.483,0.6808,0.0,0.517,0.483,0.6808,0.0,0.517,0.483,0.6808,0.0,0.517,0.483,0.6808
ID000005,2020-06-01,muster vigour equivalent political bountiful energy ba,0.0,0.556,0.444,0.4588,0.0,0.556,0.444,0.4588,0.0,0.556,0.444,0.4588,0.0,0.556,0.444,0.4588
ID000006,2020-06-01,la suspending testing blatant acts biological warfare people color ive,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296
ID000007,2020-06-01,surveys conspiracy theories fascinating disturbing 29 uk adults withholding secret,0.39,0.407,0.203,-0.4939,0.39,0.407,0.203,-0.4939,0.39,0.407,0.203,-0.4939,0.39,0.407,0.203,-0.4939
ID000008,2020-06-01,sad news singer sonu nigam confirmed music composer wajid khan sajidwajid passed short whi,0.193,0.807,0.0,-0.4767,0.193,0.807,0.0,-0.4767,0.193,0.807,0.0,-0.4767,0.193,0.807,0.0,-0.4767
ID000009,2020-06-01,la suspended testing protests chicago schools stopped grab meals children,0.496,0.504,0.0,-0.7096,0.496,0.504,0.0,-0.7096,0.496,0.504,0.0,-0.7096,0.496,0.504,0.0,-0.7096
ID000010,2020-06-01,airlines hotels work hard business travelers wont impossible busi,0.149,0.851,0.0,-0.1027,0.149,0.851,0.0,-0.1027,0.149,0.851,0.0,-0.1027,0.149,0.851,0.0,-0.1027
